,0
724,Tell me about ur projectTell me about ur roles andresponsibilitiesTell me about the end to end flow
725,how ur module works in ur project
726,What all technologies u have usedin ur applicationDid u use any algorithmsHave u used any design patternsin ur project 
727,What are those Have u used any singleton or factory designpatter
728,What are webservices 
729,What isrest
730,What are the methods of Http
731,What is the difference betweenapplication server and web serverIs there any difference betweenapache and apachae tomcatDifference between interface andabstract class Give practical example
732,What is the difference betweenrow id and row number
733,What is a stored procedureDo you know who all consumed yourweb servic
734,How did you authenticate yourapplicatio
735, Did you use any SSlWhich methodology did you work on
736,What are micro services
737,What are modulesDifference between angular js andangular 
738,Brief description about your recent project and the technologystack used
739,What are the design pattern used in your application
740,What is a singleton pattern and where do you use itWrite a singleton class
741,What was your project architecture
742,How to create a singleton class
743,What is lazy loading
744,What is a test driven methodology Have you worked on that
745,What is the advanta
746,how do you write a unit test case for a unit that connectsto the database
747,why do you use spring framewor
748,what is the advantage of using spring boot Write a program to convert a 3 digit number into wordseg 320should display as Three hundred twenty Explain the log
749,1 
750,How did you do authentications2 
751,How do you pass data to the view4 
752,How do you handle authorization in a controller5 
753,What do you do if you want the check the authorization for everything6 In Angular 
754,What happens in a ForEach loop and
755,what happens in a Maps loop7 
756,What is an observable and a prom
757,1 
758,How many Directives in Angular2 
759,What is the difference between stateless and stateful3 
760,What is the difference between directives and components4 
761,What is an observable5 
762,What is a promi
